Period,Total Records,Unique Symbols,Date Range,Trading Days
2016,9300,50,2016-04-01 to 2016-12-30,186
2017 H1,6222,51,2017-01-02 to 2017-06-30,122
2017 H2,6375,51,2017-07-03 to 2017-12-29,125
2018 H1,6200,50,2018-01-01 to 2018-06-29,124
2018 H2,6050,50,2018-07-02 to 2018-12-31,121
2019 H1,6100,50,2019-01-01 to 2019-06-28,122
2019 H2,6150,50,2019-07-01 to 2019-12-31,123
2020 H1,6150,50,2020-01-01 to 2020-06-30,123
2020 H2,6441,50,2020-07-01 to 2020-12-31,129
2024 H2,6300,50,2024-07-01 to 2024-12-31,126
2025 H1,6150,50,2025-01-01 to 2025-06-30,123
2025 H2,3100,50,2025-07-01 to 2025-09-26,62
