DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,ISIN
2016-04-01,ACC,1371.25,1417.0,1371.25,1413.8,353030,INE012A01025
2016-04-01,ADANIPORTS,248.0,248.0,239.5,242.9,1772898,INE742F01042
2016-04-01,AMBUJACEM,231.9,236.4,229.15,235.35,1438907,INE079A01024
2016-04-01,ASIANPAINT,871.0,883.95,865.0,870.0,853331,INE021A01026
2016-04-01,AXISBANK,440.9,452.0,440.05,449.9,8827751,INE238A01034
2016-04-01,BAJAJ-AUTO,2410.0,2427.4,2378.0,2419.85,238387,INE917I01010
2016-04-01,BANKBARODA,145.7,153.5,145.35,152.8,12808561,INE028A01039
2016-04-01,BHARTIARTL,350.2,350.2,332.2,335.45,4071134,INE397D01024
2016-04-01,BHEL,113.8,120.7,113.35,116.45,19232274,INE257A01026
2016-04-01,BOSCHLTD,20825.0,20825.0,19723.95,19888.55,34323,INE323A01026
2016-04-01,BPCL,900.0,900.0,885.2,887.25,949165,INE029A01011
2016-04-01,CAIRN,154.5,155.0,151.1,153.25,2876698,INE910H01017
2016-04-01,CIPLA,513.8,517.3,510.0,514.55,1239447,INE059A01026
2016-04-01,COALINDIA,292.0,293.75,285.65,287.0,4021684,INE522F01014
2016-04-01,DRREDDY,3020.2,3026.15,2965.15,2979.95,317123,INE089A01023
2016-04-01,GAIL,354.65,355.7,346.3,347.7,1171791,INE129A01019
2016-04-01,GRASIM,3811.0,3887.0,3811.0,3852.8,42913,INE047A01013
2016-04-01,HCLTECH,820.0,824.0,807.0,820.4,2664808,INE860A01027
2016-04-01,HDFC,1100.0,1117.8,1092.25,1113.4,3894156,INE001A01036
2016-04-01,HDFCBANK,1068.8,1076.4,1056.8,1064.45,1289662,INE040A01026
2016-04-01,HEROMOTOCO,2931.1,2969.45,2923.0,2951.05,348132,INE158A01026
2016-04-01,HINDALCO,87.5,87.65,86.05,86.65,8139439,INE038A01020
2016-04-01,HINDUNILVR,867.1,874.9,856.0,867.8,1096484,INE030A01027
2016-04-01,ICICIBANK,236.0,239.45,232.7,238.3,14252139,INE090A01021
2016-04-01,IDEA,110.5,110.8,106.4,107.1,4306765,INE669E01016
2016-04-01,INDUSINDBK,966.65,969.0,950.75,961.3,933728,INE095A01012
2016-04-01,INFY,1216.0,1222.2,1195.1,1205.45,2755714,INE009A01021
2016-04-01,ITC,326.1,336.8,325.5,336.05,9533340,INE154A01025
2016-04-01,KOTAKBANK,682.0,686.65,677.15,679.9,1470326,INE237A01028
2016-04-01,LT,1212.0,1248.3,1212.0,1237.9,1693296,INE018A01030
2016-04-01,LUPIN,1475.9,1484.0,1451.25,1464.85,2301141,INE326A01037
2016-04-01,M&M,1206.7,1207.4,1188.0,1195.2,2491811,INE101A01026
2016-04-01,MARUTI,3700.45,3764.95,3682.0,3723.2,769731,INE585B01010
2016-04-01,NTPC,128.7,131.0,128.3,129.95,5170593,INE733E01010
2016-04-01,ONGC,214.5,214.95,208.1,208.8,6844130,INE213A01029
2016-04-01,PNB,84.5,88.1,84.25,87.65,10487538,INE160A01022
2016-04-01,POWERGRID,139.8,140.0,138.1,138.3,2213544,INE752E01010
2016-04-01,RELIANCE,1039.1,1046.3,1025.0,1034.45,2830115,INE002A01018
2016-04-01,SBIN,193.7,197.25,192.0,195.65,21752206,INE062A01020
2016-04-01,SUNPHARMA,821.0,824.0,809.4,815.1,1654746,INE044A01036
2016-04-01,TATAMOTORS,386.4,386.4,377.7,379.65,5683771,INE155A01022
2016-04-01,TATAPOWER,64.95,65.5,63.65,65.2,4168582,INE245A01021
2016-04-01,TATASTEEL,317.65,319.85,313.35,317.75,5570019,INE081A01012
2016-04-01,TCS,2505.0,2520.85,2434.1,2453.9,1520700,INE467B01029
2016-04-01,TECHM,476.0,476.05,460.0,463.1,2394963,INE669C01036
2016-04-01,ULTRACEMCO,3249.0,3260.0,3190.0,3203.7,274734,INE481G01011
2016-04-01,VEDL,89.75,91.6,87.55,90.05,16729805,INE205A01025
2016-04-01,WIPRO,567.0,572.5,557.2,562.15,1379141,INE075A01022
2016-04-01,YESBANK,863.0,865.5,852.4,855.6,2827345,INE528G01019
2016-04-01,ZEEL,384.0,389.7,383.1,386.75,3562491,INE256A01028
2016-04-04,ACC,1409.95,1424.25,1397.0,1412.1,304032,INE012A01025
2016-04-04,ADANIPORTS,249.45,249.45,241.2,242.55,1986415,INE742F01042
2016-04-04,AMBUJACEM,236.35,236.9,230.55,231.2,1587549,INE079A01024
2016-04-04,ASIANPAINT,874.0,888.5,865.25,886.15,662760,INE021A01026
2016-04-04,AXISBANK,451.5,451.55,442.1,444.75,5347581,INE238A01034
2016-04-04,BAJAJ-AUTO,2430.0,2477.7,2427.2,2448.25,188472,INE917I01010
2016-04-04,BANKBARODA,154.0,154.15,149.65,151.45,6201546,INE028A01039
2016-04-04,BHARTIARTL,335.55,350.9,335.55,348.5,3095605,INE397D01024
2016-04-04,BHEL,117.5,118.8,114.7,116.85,6485269,INE257A01026
2016-04-04,BOSCHLTD,20140.0,20312.25,19815.7,20082.1,17053,INE323A01026
2016-04-04,BPCL,895.0,897.4,880.6,887.0,936274,INE029A01011
2016-04-04,CAIRN,150.25,152.55,150.0,151.9,1609762,INE910H01017
2016-04-04,CIPLA,519.0,519.0,512.15,514.3,768318,INE059A01026
2016-04-04,COALINDIA,288.4,288.95,284.0,285.0,3745464,INE522F01014
2016-04-04,DRREDDY,3008.0,3044.3,2997.0,3011.75,306428,INE089A01023
2016-04-04,GAIL,350.4,352.0,346.0,348.2,856608,INE129A01019
2016-04-04,GRASIM,3887.0,3890.0,3852.0,3878.2,56585,INE047A01013
2016-04-04,HCLTECH,815.0,841.95,815.0,839.85,2830985,INE860A01027
2016-04-04,HDFC,1122.5,1124.25,1095.6,1103.7,3275522,INE001A01036
2016-04-04,HDFCBANK,1065.2,1072.8,1064.0,1069.05,1544990,INE040A01026
2016-04-04,HEROMOTOCO,2988.0,2988.0,2946.0,2983.7,421607,INE158A01026
